20 20
11 5 1; 122950 2216.558 -679200; 130450 2215.707 -679200; 130450 2180.61 -674200; 122950 2174.895 -674200
11 6 1; 122950 2174.895 -674200; 130450 2180.61 -674200; 130450 2154.093 -669200; 122950 2150.228 -669200
11 7 1; 122950 2150.228 -669200; 130450 2154.093 -669200; 130450 2146.387 -664200; 122950 2144.913 -664200
11 8 1; 122950 2144.913 -664200; 130450 2146.387 -664200; 130450 2135.604 -659200; 122950 2132.808 -659200
11 9 1; 122950 2132.808 -659200; 130450 2135.604 -659200; 130450 2124.094 -654200; 122950 2104.464 -654200
11 10 1; 122950 2104.464 -654200; 130450 2124.094 -654200; 130450 2104.745 -649200; 122950 2030.195 -649200
11 11 1; 122950 2030.195 -649200; 130450 2104.745 -649200; 130450 2046.056 -644200; 122950 2001.928 -644200
11 12 0; 122950 2001.928 -644200; 130450 2046.056 -644200; 130450 2041.43 -639200; 122950 2000.098 -639200
11 13 1; 122950 2000.098 -639200; 130450 2041.43 -639200; 130450 2093.141 -634200; 122950 2023.613 -634200
11 14 1; 122950 2023.613 -634200; 130450 2093.141 -634200; 130450 2119.851 -629200; 122950 2110.976 -629200
11 15 1; 122950 2110.976 -629200; 130450 2119.851 -629200; 130450 2129.88 -624200; 122950 2125.623 -624200
11 16 1; 122950 2125.623 -624200; 130450 2129.88 -624200; 130450 2143.864 -619200; 122950 2140.626 -619200
